date,egg,id,meat_ab2,meat_l2,meat_south
111/07/27,42.5,4306,35.8,35.8,37.3
111/07/26,42.5,4305,35.8,35.8,37.3
111/07/23,42.5,4302,35.8,35.8,37.3
111/07/22,42.5,4301,35.8,35.8,37.3
111/07/25,42.5,4304,35.8,35.8,37.3
111/07/24,42.5,4303,35.8,35.8,37.3
111/07/17,40.5,4296,35.8,35.8,37.3
111/07/18,40.5,4297,35.8,35.8,37.3
111/07/12,40.5,4291,35.8,35.8,37.3
111/07/13,40.5,4292,35.8,35.8,37.3
111/07/19,40.5,4298,35.8,35.8,37.3
111/07/10,40.5,4289,35.8,35.8,37.3
111/07/15,40.5,4294,35.8,35.8,37.3
111/07/09,40.5,4288,35.8,35.8,37.3
111/07/11,40.5,4290,35.8,35.8,37.3
111/07/20,42.5,4299,35.8,35.8,37.3
111/07/21,42.5,4300,35.8,35.8,37.3
111/07/08,40.5,4287,35.8,35.8,37.3
111/07/16,40.5,4295,35.8,35.8,37.3
111/07/14,40.5,4293,35.8,35.8,37.3
111/07/02,40.5,4281,35.5,35.5,37.0
111/07/01,40.5,4280,35.5,35.5,37.0
111/07/07,40.5,4286,35.8,35.8,37.3
111/07/04,40.5,4283,35.5,35.5,37.0
111/06/29,40.5,4278,35.5,35.5,37.0
111/06/28,40.5,4277,35.5,35.5,37.0
111/07/03,40.5,4282,35.5,35.5,37.0
111/06/30,40.5,4279,35.5,35.5,37.0
111/07/06,40.5,4285,35.8,35.8,37.3
111/07/05,40.5,4284,35.8,35.8,37.3
