cornFlour_b,corn_k,corn_tc,date,id,soyFlour,soy_b,soy_c
12.05,11.00,11.00,111/07/27,3821,18.70,17.50,17.50
12.15,11.20,11.20,111/07/26,3820,18.70,17.50,17.50
12.25,11.40,11.40,111/07/25,3819,18.70,17.50,17.50
12.40,11.55,11.55,111/07/22,3818,18.70,17.50,17.50
12.60,11.80,11.80,111/07/20,3816,18.70,17.50,17.50
12.60,11.90,11.90,111/07/19,3815,23.60,17.50,17.50
12.48,11.70,11.70,111/07/21,3817,18.70,17.50,17.50
12.68,12.00,12.00,111/07/11,3809,23.60,17.50,17.50
12.66,12.00,12.00,111/07/12,3810,23.60,17.50,17.50
12.60,11.90,11.90,111/07/18,3814,23.60,17.50,17.50
12.60,11.90,11.90,111/07/15,3813,23.60,17.50,17.50
12.88,12.10,12.10,111/07/05,3805,23.60,17.50,17.50
12.68,12.00,12.00,111/07/07,3807,23.60,17.50,17.50
12.98,12.30,12.30,111/07/01,3803,23.60,17.50,17.50
12.93,12.20,12.20,111/07/04,3804,23.60,17.50,17.50
12.60,11.90,11.90,111/07/14,3812,23.60,17.50,17.50
13.01,12.35,12.35,111/06/30,3802,23.60,17.50,17.50
12.78,12.00,12.00,111/07/06,3806,23.60,17.50,17.50
12.68,12.00,12.00,111/07/08,3808,23.60,17.50,17.50
13.01,12.40,12.40,111/06/29,3801,23.60,17.50,17.50
13.01,12.40,12.40,111/06/28,3800,23.60,17.50,17.50
